id,0,48,96,144,192,240,288,336,384,432,480,528,576,624,672,720,768,816,864,912,960,1008,1056,1104,1152,1200,1248,1296,1344,1392,1440,1488,1536,1584,1632,1680,1728,1776,1824,1872,1920,1968,2016,2064,2112,2160,2208,2256,2304,2352,2400,2448,2496,2544,2592,2640,2688,2736,2784,2832,2880,2928,2976,3024,3072,3120,3168,3216,3264,3312,3360,3408,3456,3504,3552,3600
49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,39,0,54,0,0,0,0,0,4,3,0,4,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,1,4,3,3,5,2,5,15,12,25,68,49,150,196,105,109,27,49,109,185,132,359,48,458,317,144,41,101,58,93,44,56,15,32,32,40,34,15,6,15,26,8,7,9,12,1,2,0,2,3,0,0,0,0,0,0,0,1,0,0
51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,29,0,0,26,9,81,65,0,0,7,0,9,0,0,3,4,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,3,3,0,3,0,20,0,0,16,0,0,0,28,48,14,4,1,0,0,13,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,2,0,0,0,1,13,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
54,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,2,2,4,12,7,22,43,12,21,68,34,101,68,185,12,145,115,69,360,17,167,106,46,17,110,39,11,25,8,38,67,34,13,20,39,9,59,12,10,12,8,3,6,13,2,0,2,0,3,0,1,0,0,0,0,0,0,0
55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,17,0,3,9,38,29,0,9,2,16,33,18,50,0,2,2,172,17,25,62,10,7,3,13,6,6,8,11,3,19,0,2,1,1,0,1,0,4,1,0,2,0,0,0,0,0,0,0,0,0,0,0
56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,3,6,5,7,2,15,19,11,21,9,5,13,88,37,68,74,44,8,49,3,432,28,41,70,28,48,37,32,12,24,14,19,5,20,17,4,6,17,2,1,4,3,12,8,4,0,1,0,0,0,0,0,0,0,0,0
57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,2,3,4,4,4,4,2,5,8,18,12,5,193,188,123,15,23,55,920,467,21,21,20,55,38,20,6,33,24,28,31,22,23,18,8,6,11,8,0,2,2,3,5,1,0,0,1,1,0,0,0,0,0,0,0,0,0
58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,8,22,24,107,96,52,49,96,97,70,28,61,98,261,11,2,38,3,2,5,27,44,19,39,8,13,6,12,20,21,18,39,173,128,18,13,2,3,3,3,4,6,0,5,0,0,0,0,0,0,0,0,0,0
59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,3,5,1,4,17,4,96,3,4,14,30,119,35,10,36,75,78,166,1,14,14,24,58,18,46,53,47,42,41,30,23,15,29,25,52,20,11,35,18,8,6,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0
60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,2,1,4,11,1,6,28,2,4,11,2,70,2,24,83,23,4,265,46,69,8,24,12,10,43,25,14,25,27,21,15,7,8,2,11,1,1,3,4,1,0,5,0,0,2,1,0,0,0,0,0,0,0,0,0,0
61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,2,3,2,10,12,15,13,49,41,55,57,14,47,86,5,107,353,356,211,135,59,0,257,485,3,106,71,29,143,38,56,22,27,28,31,11,12,9,13,2,10,8,15,5,7,2,8,2,1,0,0,0,0,0,0,0,0,0
